,StoryHeadlines,Story_in_Detail,Category
39,Man charged for defacing Mother Mary statue wanted to 'beautify' her,,Health
40,Warning Signs of COPD (Chronic Obstructive Pulmonary Disease),,Health
41,Critics roast Rudy Giuliani for apparent hair dye mishap: 'Hire union hair and makeup professionals',,Health
42,COVID-19: Singapore confirms 4 new cases; no local case for 10th straight day,,Health
43,Superspreader events key driver in Covid-19 pandemic,,Health
44,"Georgia recount confirms Biden victory over Trump, says state election official",,Health
45,Black Friday: Amazon Singapore is having a major sale on these Apple AirPods,,Health
46,Campus march by Hong Kong graduates marks a year since university clashes,,Health
47,'Blood on your hands': Polish ruling party boss slams opposition amid protests,,Health
48,"Marina Bay Sands celebrates its 10th anniversary with light shows, shopping celebrations",,Health
49,Trump's vaccine team will not brief Biden administration - U.S senators,,Health
50,Some Russian hospitals face shortages of COVID-19 drugs,,Health
51,Top 3 Mistakes To Avoid When Purchasing a Second-Hand Car,,Health
52,Opposites attract: Wild and captive jaguars mate in Argentina to save species,,Health
53,Trump news – live: Georgia count confirms Biden victory as Giuliani dye-leaking speech branded ‘dangerous’,,Health
54,Over 900 Midwest Mayo Clinic Staff Diagnosed With Coronavirus In Last 2 Weeks,,Health
55,Hong Kong mask manufacturer suspends business after being accused of possibly violating national security law over design and packaging of products,,Health
56,Singapore minister doesn’t see more virus aid before Budget,,Health
57,Alex Jones Leads Protesters Into Georgia State Capital as Recount Continues,,Health
58,Mizuho to cut Singapore office space on work-from-home success,,Health
59,Taxi to nowhere: virus measures hit London black cab business,,Health
60,The story behind Princess Diana's controversial but enduringly popular sapphire engagement ring,,Health
61,FOOD REVIEW: “I sit at The Halia and wondered if indeed bigger is better”,,Health
62,"Taiwan says Trump cabinet member to visit, angering China",,Health
63,Covid: Pizza worker's 'lie' forced South Australia lockdown,,Health
64,How Much Can You Borrow For Your Home Loan?,,Health
65,"Black Friday 2020: Early fashion deals from Alo Yoga, Asos and more",,Health
66,"German vaccine maker gives hope as US virus deaths top 250,000",,Health
0,"Reality Rift swop Valorant roster, citing age restrictions as a factor","Reality Rift released four players from their Valorant roster, citing recently-implemented age restrictions in the game’s professional scene as one of the push factors for the change.",Esports
1,Resurgence rebrands to RSG following another successful year,"Singapore-based Resurgence announced a rebrand following another successful year that saw it cement its place as one of Southeast Asia’s major esports outfits, with a projected three-fold increase in revenue.",Esports
2,League of Legends pro Rekkles leaves Fnatic after 8 years,"Fnatic’s longtime AD carry player, Martin “Rekkles” Larsson, has left the team, with some sources suggesting that he will be headed for G2 Esports.",Esports
3,Why FIFA Ultimate Team is often hated and very successful,"FIFA 21 will no doubt make over $1 billion, as each entry in the series has in recent years.  To legions of FIFA players the new title really signals the start of a fresh season of Ultimate Team.  For the unfamiliar, FIFA Ultimate Team is the most popular feature in the game, and the one that's come to define the overall experience.",Esports
4,"Weekly esports guide (16 - 23 November): FSL Dota 2, Valorant action and more","The Female Esports League returns this weekend with Dota 2 action. For First-Person Shooter fans, Valorant’s First Strike and the AOC Masters kick off this week, while FSL’s Valorant tournament is scheduled for the following weekend.",Esports
5,Cloud9 parts ways with Nisqy,The Turkish mid-laner will announce his future plans soon.,Esports
6,"DRX release Chovy, Deft, Doran, and Keria",Just Pyosik remains on the roster.,Esports
7,Vici Gaming release Eurus as Elephant-4AM partnership breaks down,"Chinese organisation Vici Gaming has (VG) announced the official release of carry player Zhang “Eurus” Chengjun, allowing him to fully become a member of the Chinese superteam.",Esports
8,How esports can save colleges,"A few months ago, I wrote a piece about esports and the Olympics after sitting on a panel discussing whether, as a result of the coronavirus pandemic, esports had an opportunity to work with the International Olympic Committee.  After careful consideration and research, my conclusion was basically, ""I think that the Olympics need esports a whole lot more than esports needs the Olympics.""",Esports
9,"Black Girl Gamers founder Jay-Ann Lopez talks inclusivity, stereotypes and the best gaming music",Jay-Ann Lopez founded the gaming collective in 2015 after experiencing racism and sexism online.,Esports
10,BLAST Premier Fall Showdown round 1 matches revealed,"BLAST has revealed the first round match-ups for the upcoming BLAST Premier Fall Showdown event. The event will give the 16 teams another shot to qualify for the Fall Finals. The Fall Showdown is set to run from November 24th to 29th. The single-elimination event will have a total of two spots in the $750,000",Esports
11,ScreaM drops 48 kills and a huge Ace in Liquid’s final First Strike EU qualifier match,Could ScreaM enter the mix as the best Jett player in the world?,Esports
12,Bren Esports add female MLBB pro Kolin to roster for The Nationals,"Bren Esports has added a female pro player, Colleen “Kolin” Cruz, to Bren Epro, their Mobile Legends: Bang Bang (MLBB) team competing in The Nationals, the Philippines’ premier national esports league.",Esports
13,Singaporean talent agency EMERGE Esports officially launches,"Singapore-based esports talent management agency, EMERGE Esports, officially launched with an initial roster of over 40 esports athletes and personalities.",Esports
14,Understanding frame data in Street Fighter V - PWN THEM ALL S03E02,"In this episode, Brandon Chia of Sin Esports takes you through what you need to understand about frame data in Street Fighter V.  For more esports content, visit: https://yhoo.it/YahooEsportsSEA ",Esports
15,mousesports add Renegades' mithR as head coach,"mousesports have signed Torbjørn ""⁠mithR⁠"" Nyborg from Renegades the organization has revealed. The now former Renegades head coach will take over that role for mousesports which has been left without one since Allan ""⁠Rejin⁠"" Petersen was issued a ban for abusing the coaching bug as part of the ESIC investigation.",Esports
16,Experiencing League of Legends: Wild Rift on the iPhone 12,Is the new iPhone 12 from Apple a good option if you're looking to experience League of Legends: Wild Rift? Here are some of our impressions.,Esports
17,Evil Geniuses add iceiceice to Dota 2 roster,"Singaporean Dota 2 professional player Daryl ""iceiceice"" Koh has joined Evil Geniuses, the North American team revealed in a Facebook post early Sunday.",Esports
18,"Adroit Esports disband Dota 2 team, cease all operations","Filipino esports organisation, Adroit Esports, announced on Saturday (14 November) that they were disbanding their Dota 2 team and ceasing all operations due to the continuing effects of the coronavirus pandemic on the scene in Southeast Asia.",Esports
19,Dota pro KuroKy returns from five-month injury hiatus,Team Nigma captain Kuro “Kuroky” Salehi Takhasomi announced his return to the team’s active roster and shed some light on the team's plans for expansion.,Esports
20,Ninjas in Pyjamas sign THREAT to three more years,"Ninjas in Pyjamas have signed head coach Björn “THREAT” Pers to an additional three years the organization has revealed. Since taking over the role from Faruk ""pita"" Pita and seeing the departure of legends like Christopher ""GeT_RiGhT"" Alesund and Patrik ""f0rest"" Lindberg, THREAT has helped the team to several big wins and strong performances against other top level",Esports
21,"Tencent reveals plans for an Arena of Valor anime, film, and live-action series",More games set in the AoV universe could be on the way too.,Esports
22,Virtus.pro spoil Cloud9 colossus' debut 2-0 at FLASHPOINT 2,"It was the debut of the Cloud9 colossus and it seems the giant wasn't quite strong enough to take down Virtus.pro in their FLASHPOINT 2 opener. While certainly not the introduction the team was looking for, it is still very early in this teams life and the Complexity juggernaut had similar early performances. The side",Esports
23,'FIFA 21' update reportedly allows players to set microtransaction limits,EA's Playtime feature is said to give gamers (or their parents) more control.,Esports
24,Yurith on the esports scene in Indonesia,"Esports project manager Cindy “Yurith” Anastasia and Deborah “Wolfsbanee” Sim discuss the current scene in Indonesia, and some of the challenges and differences from Singapore.",Esports
25,The $100 SingapoRediscovers Vouchers: Who Is Eligible and What You Can Do With It,,Esports
26,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,,Esports
27,Second lockdown would leave Singaporeans 'angsty and fractious': PM Lee,,Esports
28,"Coronavirus: Hong Kong’s fourth wave has started, two top infectious disease experts warn, as more than 30 confirmed and preliminary cases reported",,Esports
29,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,,Esports
30,6 elegant afternoon teas to savour in Singapore,,Esports
31,"We chat with Kelly Marie Tran and Clark Duke, stars of The Croods: A New Age",,Esports
32,Singapore could still live with virus curbs for more than a year,,Esports
33,"Teen who was high on meth slipped hand out of handcuffs, bit cop",,Esports
34,Vatican investigating pope 'liking' photo of Brazilian model in lingerie on Instagram,,Esports
35,He held up a smiley-face sign in public. Singapore charged him with unlawful assembly,,Esports
36,World stocks wobble after Mnuchin pulls plug on Fed stimulus,,Esports
37,‘She has to finally come to a decision’: GSA chief Emily Murphy faces blowback as nation awaits vote certification,,Esports
38,Man who allowed 15-year-old girls to smoke meth jailed,,Esports
39,Man charged for defacing Mother Mary statue wanted to 'beautify' her,,Esports
40,Warning Signs of COPD (Chronic Obstructive Pulmonary Disease),,Esports
41,Critics roast Rudy Giuliani for apparent hair dye mishap: 'Hire union hair and makeup professionals',,Esports
42,COVID-19: Singapore confirms 4 new cases; no local case for 10th straight day,,Esports
43,Superspreader events key driver in Covid-19 pandemic,,Esports
44,"Georgia recount confirms Biden victory over Trump, says state election official",,Esports
45,Black Friday: Amazon Singapore is having a major sale on these Apple AirPods,,Esports
46,Campus march by Hong Kong graduates marks a year since university clashes,,Esports
47,'Blood on your hands': Polish ruling party boss slams opposition amid protests,,Esports
48,"Marina Bay Sands celebrates its 10th anniversary with light shows, shopping celebrations",,Esports
49,Trump's vaccine team will not brief Biden administration - U.S senators,,Esports
50,Some Russian hospitals face shortages of COVID-19 drugs,,Esports
51,Top 3 Mistakes To Avoid When Purchasing a Second-Hand Car,,Esports
52,Opposites attract: Wild and captive jaguars mate in Argentina to save species,,Esports
53,Trump news – live: Georgia count confirms Biden victory as Giuliani dye-leaking speech branded ‘dangerous’,,Esports
54,Over 900 Midwest Mayo Clinic Staff Diagnosed With Coronavirus In Last 2 Weeks,,Esports
55,Hong Kong mask manufacturer suspends business after being accused of possibly violating national security law over design and packaging of products,,Esports
56,Singapore minister doesn’t see more virus aid before Budget,,Esports
57,Alex Jones Leads Protesters Into Georgia State Capital as Recount Continues,,Esports
58,Mizuho to cut Singapore office space on work-from-home success,,Esports
59,Taxi to nowhere: virus measures hit London black cab business,,Esports
60,The story behind Princess Diana's controversial but enduringly popular sapphire engagement ring,,Esports
61,FOOD REVIEW: “I sit at The Halia and wondered if indeed bigger is better”,,Esports
62,"Taiwan says Trump cabinet member to visit, angering China",,Esports
63,Covid: Pizza worker's 'lie' forced South Australia lockdown,,Esports
64,How Much Can You Borrow For Your Home Loan?,,Esports
65,"Black Friday 2020: Early fashion deals from Alo Yoga, Asos and more",,Esports
66,"German vaccine maker gives hope as US virus deaths top 250,000",,Esports
0,New BTS album racks up millions of listens within hours,"Tens of millions of fans around the world raced to listen to the latest offering from BTS on Friday, as the K-pop sensation dropped their highly anticipated new album to a deluge of excitement.",World News
1,Incoming Biden presidency exposes old French-German rift on defence,"The German defence minister's warning against the ""illusions"" of pursuing European defence autonomy rattled French President Emmanuel Macron so much that her comments became a topic of discussion at a cabinet meeting this month in Paris.  In a robustly Atlanticist column published by Politico on Nov. 2, on the eve of the U.S. presidential election, Germany's Annegret Kramp-Karrenbauer said Europe would remain dependent on Washington for its defence for a long time to come.  Macron, a champion of European ""strategic autonomy"", said he was ""in complete disagreement"" with the German minister, arguing that the United States would only respect a Europe that was more self-reliant in defence.",World News
2,Some Russian hospitals face shortages of COVID-19 drugs,"Some Russian hospitals are experiencing serious shortages of drugs used to treat COVID-19 and cannot restock because of panic buying, high demand and problems with a new labelling system, officials, distributors and doctors said.  Russia, which has reported the world's fifth-highest number of COVID-19 cases, is -- like many other countries -- struggling to cope with a second wave of the disease and the healthcare system outside Moscow is close to breaking point.  Doctors in over a dozen regions face big shortages of antibiotics, antiviral drugs and other medicines used to treat COVID-9, three local officials and three drugs vendors told Reuters.",World News
3,Eric Trump’s Warning About Rudy Giuliani Taking Down ‘Dirtbags’ Backfires,"""Careful what you wish for,"" one Twitter user hit back at Donald Trump's son.",World News
4,Jimmy Kimmel Stuns Barack Obama With An Absolutely Filthy 'Personal Question',The very intimate query left the former president flustered.,World News
5,"China foreign minister to visit South Korea amid hopes for Xi trip, North Korea talks","China's foreign minister will visit Seoul next week for meetings with officials there, South Korea's foreign ministry said on Friday, amid efforts to resume bilateral summit diplomacy and stalled nuclear talks involving North Korea.  Wang Yi will arrive in South Korea on Wednesday for a three-day stay and meet his counterpart Kang Kyung-wha for a high-level bilateral exchange and to discuss regional issues including North Korea and the COVID-19 outbreak, the ministry said in a statement.",World News
6,Australia digests report of Afghan military killings,"Australians reacted with shock and distress on Friday (November 20), a day after the release of a report alleging Australian special forces killed 39 unarmed civilians and prisoners in Afghanistan.  The report has been described by national leaders as one of the darkest military chapters for Australia, just one week after the country's Remembrance Day for fallen soldiers. Military personnel spoke against the report saying they felt vindicated by the inquiry. Linda Reynolds is Australia's Defence Minister and a former army officer: ""How do I feel? I got the report two weeks ago and it made me physically ill and it was a very distressing read because I know that it doesn't, it certainly didn't represent my service"" The report found evidence of 'blooding,' an alleged practice where senior commanders would coerce junior soldiers to kill defenseless captives in Afghanistan to achieve their first kill. The inquiry, which was conducted over four years, examined more than 20,000 documents, 25,000 images, and interviewed 423 witnesses under oath. Some officials walked a delicate line of condemning the severity of the report's findings, while expressing solidarity with the country's armed forces. Josh Frydenberg is Australia's Treasurer: ""These allegations should not overshadow the remarkable work by the men and women in the Australian Defence Force. Thousands have been deployed on assignment around the world defending our national interests and making Australia and the world a safer place."" The report recommended referring 19 current and former soldiers to a soon-to-be appointed special investigator for potential prosecution. Reynolds has said that Canberra has been advised that if local prosecutions went ahead, it would negate charges at the International Criminal Court at The Hague.",World News
7,Colleagues defend 'kind' UK minister Priti Patel over bullying report,"Colleagues defended British interior minister Priti Patel on Friday after the BBC and other media reported that an inquiry looking into claims of bullying against her concluded she had broken ministerial rules.  Prime Minister Boris Johnson asked officials in March to carry out the inquiry to ""establish the facts"" after allegations were raised against Patel, one of the most senior ministers in the government.  That followed the resignation of Philip Rutnam, the top official in the interior ministry, who alleged Patel had been guilty of bullying staff.",World News
8,Hong Kong’s tour bus “cemetery”,"Standing empty and redundant, hundreds of tour buses are gathering dust at a container port in Hong Kong. They've been off the road for ten months after authorities banned all non-resident arrivals to the city due to the global health crisis. The measure has effectively decimated Hong Kong's once booming tourism industry. It was the world's leading tourist city last year with some 56 million visitors.  The sector accounts for about 5% of Hong Kong's GDP, but numbers have been down 96 to 99% year-on-year every month since February. It's worrying for the some 260,000 people directly employed in the sector. Freddy Yip is one of them. He's the president of Hong Kong's Travel Agent Owners Association, and says that once the government's wage subsidy ends in November, his business could collapse. ""My company, like other company, of course, look for the subsidy from the government"" he said. ""Once the government subsidy stop we need to trim down all the expenses, keep as small as possible.'' The wage subsidy program was first introduced in June and helped about two million employees in all types of industries. The government has ruled out extending it beyond this month, citing the high cost. One positive for the industry, though, is a travel bubble with Singapore which is due to begin this week. It will allow a limited number of people to move between the cities without needing to quarantine. But tour guide Mimi Cheung isn't optimistic about how much of a boost it will be and says people will be put off by the cost. ""I don't think the 'travel bubble' will help boost tourism. Singapore has many regulations and rules."" In the mean time, dozens of travel agencies have told staff to take unpaid leave from December, saying they can no longer afford to pay salaries or rent.",World News
9,"In Burkina Faso, voters left voiceless amid escalating violence","Djeneba Sawadogo was making a cake when she heard a noise she did not recognise - a series of sharp cracks that rang across the village of Tongomayel in northern Burkina Faso in June 2019.  In the rush, Sawadogo left behind her identity card, which would have allowed her to vote in Sunday's legislative and presidential elections.  Eighteen months on, she is stranded on a vast moonscape at the edge of the capital Ouagadougou, where thousands of displaced people scrape by without electricity or water, and children crack rocks to turn into gravel to sell to construction workers for a pittance.",World News
10,Barack Obama Surprises A Super-Fan In The Sweetest Jimmy Kimmel Prank Ever,This might be the purest Kimmel moment of all time.,World News
11,Russia jails man for 13 years for trying to pass military secrets to CIA,"Russia has sentenced a man to 13 years in prison for trying to pass military secrets about Russia's Northern Fleet to the U.S. Central Intelligence Agency, the Federal Security Service (FSB) said on Friday.  The FSB said in a statement that a court in Bryansk, southwest of Moscow, had found Yuri Eschenko guilty of state treason on Nov. 17 and sentenced him to 13 years in a high-security facility.",World News
12,Patriarch of Serbian Orthodox Church dies of coronavirus,"Patriarch Irinej, the head of the Serbian Orthodox Church, has died after contracting the coronavirus, President Aleksandar Vucic said on Friday.  Irinej, 90, a conservative who wielded major political influence, was diagnosed with the virus on Nov. 4 and had been in a military hospital in the capital Belgrade since then.  He tested positive after attending the Nov 1 funeral of Metropolitan Amfilohije, the most senior cleric of the Serbian Orthodox Church in Montenegro, who also died from COVID-19.",World News
13,Vietnam threatens to shut down Facebook: source,"Vietnam has threatened to shut down Facebook in the country, if the social media giant refuses to bow to government pressure and censor more political content on its platform. That's according to a senior official at the company, which has faced mounting pressure from governments over its content policies. But it's also faced criticism from rights groups for being too compliant with government censorship requests. Vietnam's ruling Communist Party retains tight control of the media in its country, despite opening up to more social change. Facebook's local servers in Vietnam were taken offline early this year until it complied with the government's demands. The official told Reuters the company complied with a government request in April to increase censorship of ""anti-state"" posts for some 60 million Vietnamese users. It then asked the company to step up its restrictions again in August, which the official says Facebook refused. Vietnam is a major market for Facebook, where it generates revenue amounting to nearly a billion dollars. The platform is also a source of scrutiny for the Vietnamese government, as the country's main site for both e-commerce and expressions of political dissent. Vietnam has tried to launch home-grown social media networks to compete with Facebook, with little success. Amnesty International said the fact Facebook had not yet been banned despite defying the Vietnamese government's threats showed the company could do more to resist, adding that ""Facebook are prioritising profits in Vietnam, and failing to respect human rights."" The country ranks fifth from the bottom in a global ranking of press freedom compiled by Reporters Without Borders.",World News
14,Taiwan to start building new submarine fleet next week,"Taiwan will start work next week to build the first of eight new domestically-developed submarines, it said on Friday, a long-mooted project to strengthen the island's defences in the face of China's rapidly modernising military.  Democratically-run Taiwan, which China claims as its own territory, now has four submarines, two dating to World War Two, and no match for China's fleet, which includes vessels able to launch nuclear weapons.  In a statement, Presidential Office spokesman Xavier Chang said the programme was a major part of President Tsai Ing-wen's military modernisation and self-sufficiency plan.",World News
15,US curbs ramped up as emergency vaccine request to be filed,"Americans were on Friday facing a growing raft of coronavirus restrictions, even as pharma giant Pfizer and partner BioNTech prepared to file an emergency request to roll out their vaccine.",World News
16,"K-Pop's BTS marks year of the pandemic with 'BE' album, and single 'Life Goes On'","South Korean megaband BTS released their latest album ""BE"" on Friday and will perform the new single ""Life Goes On"" remotely for the 2020 American Music Awards on Sunday, the group's music label said.  The seven-member boy band is at the forefront of South Korean pop music and has helped build a global fan base for K-pop since their debut in 2013.  This year, BTS notched their first ever Number One hit single on the Billboard charts in the United States with ""Dynamite"", which is also among the eight tracks on the new album.",World News
17,Trump to host Michigan lawmakers as he presses dubious effort to overturn election,"President Donald Trump will meet with the Republican leaders of the Michigan state legislature on Friday at the White House, as his campaign pursues an increasingly desperate bid to overturn the Nov. 3 election amid a series of courtroom losses.  Meanwhile, President-elect Joe Biden is scheduled to meet with the Democratic leaders in Congress, House of Representatives Speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer, after spending most of the week huddled with advisers as he plans his administration.  The Trump campaign's latest strategy, as described by three people familiar with the plan, is to convince Republican-controlled legislatures in battleground states that Biden won, such as Michigan and Pennsylvania, to undermine the election results and deliver those states to the Republican president's corner.",World News
18,'No Pardons. No Immunity': Mary Trump Says Her Family Must Pay,The president's niece celebrates reports of investigations into Trump finances.,World News
19,Families of Hong Kongers held in China cast doubt on prison letters,Relatives of 12 Hong Kong democracy activists detained in mainland China said Friday that letters from their loved ones praising their treatment and urging their families to stay quiet about their plight were likely written under duress.,World News
20,Latin Grammys disappoint reggaeton as Mexico's Lafourcade wins Best Album,"Mexican pop-rock folk singer Natalia Lafourcade took home Thursday's coveted Latin Grammy for Album of the Year, at a socially distanced gala where high hopes for reggaeton fell short.",World News
21,China maintains ban on Boeing 737 MAX flights,"China's aviation regulator will not yet allow Boeing's troubled 737 MAX jet to fly in the company's biggest market owing to lingering safety concerns, despite the US lifting a ban on commercial flights.",World News
22,"Rudy Giuliani's Face Was Oozing On Live TV, And Now We May Know Why",The former New York mayor had a bizarre cosmetic malfunction during his conspiracy-filled news conference.,World News
23,U.S. puts convicted killer to death in eighth federal execution under Trump,"The U.S. government put convicted rapist and murderer Orlando Hall to death by lethal injection on Thursday, the eighth execution under the Trump administration since capital punishment was reinstated at the federal level over the summer.  Hall, 49, was pronounced dead at 11:47 p.m. EST after officials at the U.S. Bureau of Prisons administered him a fatal dose of the barbiturate pentobarbital at the bureau's execution chamber in Terre Haute, Indiana, the agency said.  Hall was the second African-American man to be executed by lethal injection on federal death row in recent months.",World News
24,Republican Senators Push Back Against Trump For Trying To Overturn The Election,"“It is difficult to imagine a worse, more undemocratic action by a sitting American President,"" Sen. Mitt Romney (R-Utah) said of Trump.",World News
25,The $100 SingapoRediscovers Vouchers: Who Is Eligible and What You Can Do With It,,World News
26,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,,World News
27,Second lockdown would leave Singaporeans 'angsty and fractious': PM Lee,,World News
28,"Coronavirus: Hong Kong’s fourth wave has started, two top infectious disease experts warn, as more than 30 confirmed and preliminary cases reported",,World News
29,Trump Has Appointed 2 White Nationalists To Government Roles Since Losing The Election,,World News
30,6 elegant afternoon teas to savour in Singapore,,World News
31,"We chat with Kelly Marie Tran and Clark Duke, stars of The Croods: A New Age",,World News
32,Singapore could still live with virus curbs for more than a year,,World News
33,"Teen who was high on meth slipped hand out of handcuffs, bit cop",,World News
34,Vatican investigating pope 'liking' photo of Brazilian model in lingerie on Instagram,,World News
35,He held up a smiley-face sign in public. Singapore charged him with unlawful assembly,,World News
36,World stocks wobble after Mnuchin pulls plug on Fed stimulus,,World News
37,‘She has to finally come to a decision’: GSA chief Emily Murphy faces blowback as nation awaits vote certification,,World News
38,Man who allowed 15-year-old girls to smoke meth jailed,,World News
39,Man charged for defacing Mother Mary statue wanted to 'beautify' her,,World News
40,Warning Signs of COPD (Chronic Obstructive Pulmonary Disease),,World News
41,Critics roast Rudy Giuliani for apparent hair dye mishap: 'Hire union hair and makeup professionals',,World News
42,COVID-19: Singapore confirms 4 new cases; no local case for 10th straight day,,World News
43,Superspreader events key driver in Covid-19 pandemic,,World News
44,"Georgia recount confirms Biden victory over Trump, says state election official",,World News
45,Black Friday: Amazon Singapore is having a major sale on these Apple AirPods,,World News
46,Campus march by Hong Kong graduates marks a year since university clashes,,World News
47,'Blood on your hands': Polish ruling party boss slams opposition amid protests,,World News
48,"Marina Bay Sands celebrates its 10th anniversary with light shows, shopping celebrations",,World News
49,Trump's vaccine team will not brief Biden administration - U.S senators,,World News
50,Some Russian hospitals face shortages of COVID-19 drugs,,World News
51,Top 3 Mistakes To Avoid When Purchasing a Second-Hand Car,,World News
52,Opposites attract: Wild and captive jaguars mate in Argentina to save species,,World News
53,Trump news – live: Georgia count confirms Biden victory as Giuliani dye-leaking speech branded ‘dangerous’,,World News
54,Over 900 Midwest Mayo Clinic Staff Diagnosed With Coronavirus In Last 2 Weeks,,World News
55,Hong Kong mask manufacturer suspends business after being accused of possibly violating national security law over design and packaging of products,,World News
56,Singapore minister doesn’t see more virus aid before Budget,,World News
57,Alex Jones Leads Protesters Into Georgia State Capital as Recount Continues,,World News
58,Mizuho to cut Singapore office space on work-from-home success,,World News
59,Taxi to nowhere: virus measures hit London black cab business,,World News
60,The story behind Princess Diana's controversial but enduringly popular sapphire engagement ring,,World News
61,FOOD REVIEW: “I sit at The Halia and wondered if indeed bigger is better”,,World News
62,"Taiwan says Trump cabinet member to visit, angering China",,World News
63,Covid: Pizza worker's 'lie' forced South Australia lockdown,,World News
64,How Much Can You Borrow For Your Home Loan?,,World News
65,"Black Friday 2020: Early fashion deals from Alo Yoga, Asos and more",,World News
66,"German vaccine maker gives hope as US virus deaths top 250,000",,World News
0,COVID-19: Singapore confirms 4 new cases; no local case for 10th straight day,"The Ministry of Health confirmed four new COVID-19 cases in Singapore as of Friday (20 November) noon, taking the country’s total to 58,143.",Singapore News
1,Man who allowed 15-year-old girls to smoke meth jailed,A freelance delivery driver with Grab who befriended a 15-year-old girl had supplied her and her friend with methamphetamine. ,Singapore News
2,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,The Court of Three Judges has given a 15-month suspension to corporate lawyer Lee Suet Fern for her role in the handling of the late Lee Kuan Yew’s final will.,Singapore News
3,Man charged for defacing Mother Mary statue wanted to 'beautify' her,A man was charged in the State Courts on Friday (20 November) for defacing the Statue of Mother Mary in courtyard of the Church of the Nativity in Hougang. ,Singapore News
4,Singtel launches anti-scam campaign urging public to 'jaga' their data,Singtel launched a scam awareness campaign in Singapore to educate the public on how to recognise telco-related scams.,Singapore News
5,On The Mic: Keeping an independent cinema alive amid a pandemic,"In this episode of ""On The Mic"", we spoke with Prashant Somosundram of The Projector to find out how the indie cinema has been coping amid the pandemic.",Singapore News
6,"Teen who was high on meth slipped hand out of handcuffs, bit cop","A 17 year old who was high on meth slipped a hand out of a pair of handcuffs and assaulted a policeman, a court heard.",Singapore News
7,NTUC Care Fund to re-open applications with new criteria to benefit more union members,"The NTUC Care Fund is re-opening for application, with new eligibility criteria to allow more union members to benefit amid the coronavirus pandemic.",Singapore News
8,"COVID-19: Singapore confirms four new cases, all imported","The Ministry of Health confirmed four new COVID-19 cases in Singapore as of Thursday (19 November), taking the country’s total to 58,139.",Singapore News
9,8 travellers found making false declarations to opt out of dedicated SHN facilities,Eight travellers into Singapore were found to have made false declarations to opt out of serving their Stay-Home Notices at dedicated facilities.,Singapore News
10,US-China relations will still have 'many difficult issues' under Biden: PM Lee,"Even with the new Biden administration, there will remain “many difficult issues” in the US-China relationship, said Prime Minister Lee Hsien Loong.",Singapore News
11,Second lockdown would leave Singaporeans 'angsty and fractious': PM Lee,"Singapore does not want to impose another lockdown, as it would leave the population “angsty and fractious”, said Prime Minister Lee Hsien Loong.",Singapore News
12,"$10m compensation for some 3,000 civil servants due to HR errors","Around $10 million will be compensated to some 3,000 former and current public service officers, following an over two-year process to trace errors made in the civil service’s human resource (HR) records.",Singapore News
13,"Public can resume booking school fields, indoor halls for sports during year-end holidays",Members of the public will be able to resume booking and using school fields and indoor sports halls during the upcoming year-end school holidays.,Singapore News
14,Robinsons owes over $31.6 million to some 440 creditors: Notice,"Department store chain Robinsons owes over $31.6 million to some 440 creditors, according to a notice dated last Friday.",Singapore News
15,"Man jailed for taking $8,000 after guessing PIN of lost ATM card","After finding a lost debit card in an ATM, a man decided to try his luck at the card’s PIN and guessed it correctly on his third attempt.",Singapore News
16,"COVID-19: Singapore confirms five new cases, all imported","The Ministry of Health confirmed five new COVID-19 cases in Singapore as of Wednesday (18 November), taking the country’s total to 58,135.",Singapore News
17,Foreign visitors to Singapore can buy travel insurance to cover COVID-19-related costs,"With immediate effect, foreign visitors will be able to buy inbound travel insurance coverage for COVID-19-related costs incurred in Singapore.",Singapore News
18,'I felt heart pain': mother of girl allegedly molested by nanny's husband testifies,A woman whose daughter was allegedly molested by her nanny’s husband told the Singapore court that the girl had been touched by the man “many times” before.,Singapore News
19,"PSLE results out on 25 Nov, students to collect in separate classrooms","PSLE results in Singapore will be released on 25 November. Due to the COVID-19 situation, candidates will receive their results in separate classrooms.",Singapore News
20,Jail for employer of maid who climbed down 15 floors to escape cruel abuse,"The employer of an abused domestic helper, who fled by climbing down 15 balconies in the dead of night, was jailed 10 months and two weeks in Singapore.",Singapore News
21,Reformative training for NYP student who sold LSD to schoolmates,A 20-year-old man who sold LSD to his schoolmates at Nanyang Polytechnic (NYP) was on Tuesday sentenced to a stint at the Reformative Training Centre (RTC).,Singapore News
22,Babysitter's husband on trial for molesting 5-year-old girl,A nanny’s husband claimed trial on Tuesday (17 November) to molesting a five-year-old girl whom his wife was caring for.,Singapore News
23,"All 6 new COVID cases in S'pore imported, 7th day with no local infections","The Ministry of Health (MOH) confirmed six new COVID-19 cases in Singapore as of Tuesday (17 November), taking the country’s total to 58,130.",Singapore News
24,Man on trial for sexually abusing daughter over nearly 5 years,A 45-year-old man accused of sexually abusing his young daughter over a period of nearly five years claimed trial on Tuesday (17 November).,Singapore News
25,The $100 SingapoRediscovers Vouchers: Who Is Eligible and What You Can Do With It,,Singapore News
26,Lee Suet Fern suspended 15 months by disciplinary body over handling of LKY's will,,Singapore News
