,Stock_Symbol,Stock_Name,Stock_Price($),Stock_Volume($),Stock_Industry_Category,TRttm,TR2019,TR2018,TR2017,TR2016,CRttm,CR2019,CR2018,CR2017,CR2016,GPttm,GP2019,GP2018,GP2017,GP2016,NIttm,NI2019,NI2018,NI2017,NI2016,TA2019,TA2018,TA2017,TA2016
72,BABA,Alibaba Group Holding Limited,255.83,27.179M,Computer Software,"58,45,80,000","50,97,11,000","37,68,44,000","25,02,66,000","15,82,73,000","33,13,17,000","28,23,67,000","20,69,29,000","10,70,44,000","5,94,83,000","25,32,63,000","22,73,44,000","16,99,15,000","14,32,22,000","9,87,90,000","13,18,03,000","14,94,33,000","8,78,86,000","6,40,93,000","4,36,75,000","1,31,29,85,000","96,50,76,000","71,71,24,000","50,68,12,000"
73,BIDU,"Baidu, Inc.",142.07,5.826M,Computer Software,"10,55,43,000","10,74,13,000","10,22,77,000","8,48,09,000","7,05,49,364","5,97,16,000","6,28,50,000","5,17,44,000","4,30,62,000","3,52,78,945","4,58,27,000","4,45,63,000","5,05,33,000","4,17,47,000","3,52,70,419","35,92,000","20,57,000","2,75,73,000","1,83,01,000","1,16,32,269","30,13,16,000","29,75,66,000","25,17,28,000","18,19,97,391"
74,EBAY,eBay Inc.,48.53,12.734M,Computer Software,"1,18,03,000","1,08,00,000","1,07,46,000","95,67,000","89,79,000","26,59,000","25,08,000","23,82,000","22,22,000","20,07,000","91,44,000","82,92,000","83,64,000","73,45,000","69,72,000","53,78,000","17,86,000","25,30,000",0,"72,66,000","1,81,74,000","2,28,19,000","2,59,81,000","2,38,47,000"
75,SAP,SAP SE,117.93,1.593M,Computer Software,"2,78,39,000","2,75,53,000","2,47,08,000","2,34,60,000","2,20,62,000","81,69,000","83,55,000","74,62,000","70,51,000","65,83,000","1,96,71,000","1,91,99,000","1,72,46,000","1,64,10,000","1,54,79,000","48,57,000","33,21,000","40,83,000","40,18,000","36,46,000","6,02,15,000","5,14,91,000","4,24,97,000","4,42,77,000"
76,CRM,"salesforce.com, inc.",257.16,5.718M,Computer Software,"1,93,80,000","1,70,98,000","1,32,82,000","1,04,80,012","83,91,984","49,19,000","42,35,000","34,51,000","27,73,522","22,34,039","1,44,61,000","1,28,63,000","98,31,000","77,06,490","61,57,945","23,67,000","1,26,000","11,10,000","1,27,478","1,79,632","5,51,26,000","3,07,37,000","2,10,09,802","1,75,84,923"
77,YHOO,20318540,0,0,Computer Software,,,,,,,,,,,,,,,,,,,,,0,0,0,0
78,VMW,"VMware, Inc.",147.24,1.128M,Computer Software,"1,13,38,000","1,08,11,000","89,74,000","79,22,000","70,93,000","19,00,000","17,99,000","12,58,000","11,41,000","10,53,000","94,38,000","90,12,000","77,16,000","67,81,000","60,40,000","15,62,000","64,12,000","24,22,000","5,70,000","11,86,000","2,62,94,000","1,46,62,000","2,06,22,000","1,66,43,000"
79,ADBE,Adobe Inc.,459.47,2.063M,Computer Software,"1,24,36,297","1,11,71,297","90,30,008","73,01,505","58,54,430","17,45,720","16,72,720","11,94,999","10,10,491","8,19,908","1,06,90,577","94,98,577","78,35,009","62,91,014","50,34,522","38,61,458","29,51,458","25,90,774","16,93,954","11,68,782","2,07,62,400","1,87,68,682","1,45,35,556","1,27,07,114"
80,CTSH,Cognizant Technology Solutions Corporation,74.7,4.193M,Computer Software,"1,67,52,000","1,67,83,000","1,61,25,000","1,48,10,000","1,34,87,000","1,07,58,000","1,06,34,000","98,38,000","91,52,000","81,08,000","59,94,000","61,49,000","62,87,000","56,58,000","53,79,000","14,71,000","18,42,000","21,01,000","15,04,000","15,53,000","1,62,04,000","1,59,13,000","1,52,21,000","1,42,62,000"
81,INFY,Infosys Limited,14.99,7.93M,Computer Software,"1,28,73,000","1,27,80,000","1,17,99,000","1,09,39,000","1,02,08,000","84,87,000","85,52,000","76,87,000","70,01,000","64,46,000","43,86,000","42,28,000","41,12,000","39,38,000","37,62,000","24,28,000","23,31,000","21,99,000","24,86,000","21,40,000","1,22,60,000","1,22,52,000","1,22,55,000","1,28,54,000"
82,INTU,Intuit Inc.,354.74,"9,12,410",Computer Software,"76,79,000","76,79,000","67,84,000","59,64,000","51,77,000","13,78,000","13,78,000","11,67,000","9,77,000","8,09,000","63,01,000","63,01,000","56,17,000","49,87,000","43,68,000","18,26,000","18,26,000","15,57,000","12,11,000","9,71,000","1,09,31,000","62,83,000","51,78,000","40,68,000"
83,LNKD,LNKD,0,0,Computer Software,,,,,,,,,,,,,,,,,,,,,0,0,0,0
84,TWTR,"Twitter, Inc.",43.33,9.69M,Computer Software,"33,22,133","34,59,329","30,42,359","24,43,299","25,29,619","11,67,141","11,37,041","9,64,997","8,61,242","9,32,240","21,54,992","23,22,288","20,77,362","15,82,057","15,97,379",0,"14,65,659","12,05,596",0,0,"1,27,03,389","1,01,62,572","74,12,477","68,70,365"
85,RHT,RHT,0,0,Computer Software,,,,,,,,,,,,,,,,,,,,,0,0,0,0
86,NTES,"NetEase, Inc.",85.5,3.359M,Computer Software,"6,56,17,667","5,92,41,145","6,71,56,453","5,41,02,019","3,81,78,844","3,03,67,092","2,76,85,845","3,87,52,957","2,81,89,326","1,65,15,032","3,52,50,575","3,15,55,300","2,84,03,496","2,59,12,693","2,16,63,812","2,38,72,843","2,12,37,516","61,52,407","1,07,07,939","1,16,04,520","11,21,24,371","8,69,67,928","7,10,31,415","5,80,31,860"
87,CHKP,Check Point Software Technologies Ltd.,117.49,"7,30,500",Computer Software,"19,94,800","19,94,800","19,16,475","18,54,658","17,41,301","2,15,400","2,15,400","2,01,379","2,12,963","2,02,003","17,79,400","17,79,400","17,15,096","16,41,695","15,39,298","8,25,700","8,25,700","8,21,305","8,02,923","7,24,847","57,64,900","58,28,213","54,62,926","52,17,636"
88,CA,"CA, Inc.",0,0,Computer Software,,,,,,,,,,,,,,,,,,,,,0,0,0,0
89,ADSK,"Autodesk, Inc.",252.22,"8,88,265",Computer Software,"35,40,800","32,74,300","25,69,800","20,56,600","20,31,000","3,25,500","3,24,900","2,85,900","3,03,400","3,41,900","32,15,300","29,49,400","22,83,900","17,53,200","16,89,100","3,63,200","2,14,500",0,0,0,"61,79,300","47,29,200","41,13,600","47,98,100"
90,AKAM,"Akamai Technologies, Inc.",100.59,1.189M,Computer Software,"31,23,985","28,93,617","27,14,474","25,02,996","23,40,049","10,86,575","9,87,624","9,53,485","8,75,758","8,09,001","20,37,410","19,05,993","17,60,989","16,27,238","15,31,048","5,62,784","4,78,035","2,98,373","2,18,321","3,16,132","70,06,886","54,61,770","46,02,844","43,73,146"
91,NVDA,NVIDIA Corporation,537.15,12.773M,Computer Software,"1,30,65,000","1,09,18,000","1,17,16,000","97,14,000","69,10,000","48,55,000","41,50,000","45,45,000","38,92,000","28,47,000","82,10,000","67,68,000","71,71,000","58,22,000","40,63,000","33,88,000","27,96,000","41,41,000","30,47,000","16,66,000","1,73,15,000","1,32,92,000","1,12,41,000","98,41,000"
92,PYPL,"PayPal Holdings, Inc.",190.12,7.844M,Computer Software,"1,82,62,000","1,77,72,000","1,54,51,000","1,30,94,000","1,08,42,000","1,02,36,000","97,85,000","83,37,000","54,30,000","44,34,000","80,26,000","79,87,000","71,14,000","76,64,000","64,08,000","18,76,000","24,59,000","20,57,000","17,95,000","14,01,000","5,13,33,000","4,33,32,000","4,07,74,000","3,31,03,000"
93,CHL,China Mobile Limited,30.13,2.521M,Telecom Utilities,"74,63,53,000","74,59,17,000","73,68,19,000","74,05,14,000","70,84,21,000","25,08,85,000","24,83,75,000","13,43,93,000","14,17,66,000","14,82,14,000","49,54,68,000","49,75,42,000","60,24,26,000","59,87,48,000","56,02,07,000","10,63,43,000","10,66,41,000","11,77,81,000","11,42,79,000","10,87,41,000","1,62,92,40,000","1,53,59,10,000","1,52,21,13,000","1,52,09,94,000"
94,VZ,Verizon Communications Inc.,60.32,11.198M,Telecom Utilities,"12,83,75,000","13,18,68,000","13,08,63,000","12,60,34,000","12,59,80,000","5,20,10,000","5,47,26,000","5,55,08,000","5,15,56,000","5,14,24,000","7,63,65,000","7,71,42,000","7,53,55,000","7,44,78,000","7,45,56,000","1,83,08,000","1,92,65,000","1,55,28,000","3,01,01,000","1,31,27,000","29,17,27,000","26,48,29,000","25,71,43,000","24,41,80,000"
95,T,AT&T Inc.,28.62,27.326M,Telecom Utilities,"17,28,90,000","18,11,93,000","17,07,56,000","16,05,46,000","16,37,86,000","7,97,46,000","8,41,41,000","7,94,19,000","7,73,79,000","7,68,84,000","9,31,44,000","9,70,52,000","9,13,37,000","8,31,67,000","8,69,02,000","1,11,01,000","1,39,03,000","1,93,70,000","2,94,50,000","1,29,76,000","55,16,69,000","53,18,64,000","44,40,97,000","40,38,21,000"
96,VOD,Vodafone Group Plc,16.32,3.076M,Telecom Utilities,"4,49,74,000","4,49,74,000","4,36,66,000","4,65,71,000","4,76,31,000","3,06,82,000","3,06,82,000","3,01,60,000","3,27,71,000","3,45,76,000","1,42,92,000","1,42,92,000","1,35,06,000","1,38,00,000","1,30,55,000",0,0,0,"24,39,000",0,"16,81,68,000","14,28,62,000","14,56,11,000","15,46,84,000"
97,NTT,193502,0,0,Telecom Utilities,,,,,,,,,,,,,,,,,,,,,0,0,0,0
98,AMX,"América Móvil, S.A.B. de C.V.",14.28,1.526M,Telecom Utilities,"1,02,56,04,869","1,00,73,47,869","1,03,82,07,681","1,02,16,33,535","97,54,12,488","47,41,06,157","47,17,36,157","50,88,22,430","49,63,35,746","48,50,60,579","55,14,98,712","53,56,11,712","52,93,85,251","52,52,97,789","49,03,51,909","7,03,13,891","6,77,30,891","5,25,66,197","2,93,25,921","86,49,427","1,53,19,33,657","1,42,92,23,392","1,48,62,11,852","1,51,50,42,274"
99,CHA,China Telecom Corporation Limited,30.18,"75,666",Telecom Utilities,"38,55,22,000","37,57,34,000","37,71,24,000","36,62,29,000","35,22,85,000","14,55,02,000","13,58,95,000","15,21,25,000","14,79,04,000","14,45,10,000","24,00,20,000","23,98,39,000","22,49,99,000","21,83,25,000","20,77,75,000","2,08,34,000","2,05,17,000","2,12,10,000","1,86,17,000","1,80,04,000","70,31,31,000","66,33,82,000","66,11,94,000","65,23,68,000"
100,BT,BT,0,0,Telecom Utilities,,,,,,,,,,,,,,,,,,,,,0,0,0,0
101,CHU,China Unicom (Hong Kong) Limited,6.2,"2,92,637",Telecom Utilities,"29,05,15,000","29,05,15,000","29,08,77,000","27,48,29,000","27,41,97,000","10,71,08,000","10,71,08,000","12,17,69,000","11,99,72,000","13,30,42,000","18,34,07,000","18,34,07,000","16,91,08,000","15,48,57,000","14,11,55,000","1,13,30,000","1,13,30,000","1,01,97,000","18,28,000","6,25,000","56,24,99,000","54,03,20,000","57,19,83,000","61,41,54,000"
102,ORAN,Orange S.A.,12.35,"4,21,066",Telecom Utilities,"4,22,37,000","4,22,37,000","4,13,81,000","4,10,96,000","4,09,18,000","1,78,97,000","1,78,97,000","1,85,63,000","1,84,75,000","1,82,81,000","2,43,40,000","2,43,40,000","2,28,18,000","2,26,21,000","2,26,37,000","30,08,000","30,08,000","19,54,000","19,06,000","29,35,000","10,63,03,000","9,65,92,000","9,47,14,000","9,46,68,000"
103,BCE,BCE Inc.,43.28,"9,56,789",Telecom Utilities,"2,39,64,000","2,39,64,000","2,34,68,000","2,27,19,000","2,17,19,000","1,19,03,000","1,19,03,000","1,18,50,000","1,14,69,000","1,10,14,000","1,20,61,000","1,20,61,000","1,16,18,000","1,12,50,000","1,07,05,000","31,91,000","31,91,000","29,29,000","29,14,000","30,31,000","6,01,46,000","5,71,00,000","5,42,63,000","5,01,08,000"
104,CHT,"Chunghwa Telecom Co., Ltd.",38.14,"80,635",Telecom Utilities,"20,33,61,693","20,75,20,000","21,54,83,000","22,75,14,000","22,99,91,000","13,18,83,713","13,59,53,000","13,95,45,000","14,68,37,000","14,75,52,000","7,14,77,980","7,15,67,000","7,59,38,000","8,06,77,000","8,24,39,000","3,31,26,217","3,29,47,000","3,75,57,000","3,89,88,000","4,04,85,000","47,71,28,000","46,70,56,000","45,09,02,000","44,69,15,000"
105,SKM,"SK Telecom Co.,Ltd",23.15,"1,31,853",Telecom Utilities,"16,58,94,90,000","17,74,37,02,000","16,87,39,60,000","17,52,00,13,000","17,09,18,16,000","5,09,33,61,000","2,85,83,12,000","2,91,43,22,000","3,10,38,09,000","3,18,70,47,000","11,49,61,29,000","14,88,53,90,000","13,95,96,38,000","14,41,62,04,000","13,90,47,69,000","3,32,84,83,000","88,99,07,000","3,12,78,87,000","2,59,98,29,000","1,67,59,67,000","44,61,16,20,000","42,36,91,11,000","33,42,86,69,000","31,29,76,63,000"
106,TI,TI,0,0,Telecom Utilities,,,,,,,,,,,,,,,,,,,,,,,,
107,TU,TELUS Corporation,18.79,"9,24,590",Telecom Utilities,"1,51,06,000","1,45,89,000","1,40,95,000","1,32,02,000","1,27,25,000","61,83,000","60,70,000","63,68,000","59,35,000","56,31,000","89,23,000","85,19,000","77,27,000","72,67,000","70,94,000","13,15,000","17,46,000","16,00,000","14,60,000","12,23,000","3,79,75,000","3,30,65,000","2,95,48,000","2,77,29,000"
108,S,S,0,0,Telecom Utilities,,,,,,,,,,,,,,,,,,,,,,,,
109,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,22.25,"3,27,148",Telecom Utilities,"1,33,06,80,00,000","1,35,55,70,00,000","1,30,78,80,00,000","1,28,25,60,00,000","1,16,33,30,00,000","50,72,90,00,000","55,54,20,00,000","61,35,40,00,000","53,11,90,00,000","48,09,30,00,000","82,33,90,00,000","80,01,50,00,000","69,43,40,00,000","75,13,70,00,000","68,24,00,00,000","18,97,90,00,000","19,06,80,00,000","17,80,20,00,000","22,12,00,00,000","19,33,30,00,000","2,35,05,70,00,000","2,05,90,00,00,000","1,98,18,50,00,000","1,79,34,30,00,000"
110,DUK,Duke Energy Corporation,91.53,2.858M,Telecom Utilities,"2,41,94,000","2,50,79,000","2,45,21,000","2,35,65,000","2,27,43,000","1,25,89,000","1,35,19,000","1,39,91,000","1,27,70,000","1,29,75,000","1,16,05,000","1,15,60,000","1,05,30,000","1,07,95,000","97,68,000","21,14,000","37,48,000","26,66,000","30,59,000","21,52,000","15,88,38,000","14,53,92,000","13,79,14,000","13,27,61,000"
111,NGG,National Grid plc,61.82,"3,22,348",Telecom Utilities,"1,47,86,000","1,45,40,000","1,49,33,000","1,52,50,000","1,50,35,000","25,94,000","31,48,000","28,38,000","23,84,000",,"1,19,46,000","1,17,85,000","1,24,12,000","1,26,51,000",,"14,72,000","12,64,000","15,11,000","35,50,000","77,95,000","6,70,89,000","6,29,63,000","5,87,87,000","6,58,40,000"
112,NEE,"NextEra Energy, Inc.",75.79,6.398M,Telecom Utilities,"1,81,90,000","1,92,04,000","1,67,27,000","1,71,95,000","1,61,55,000","74,38,000","80,03,000","70,62,000","73,98,000","74,31,000","1,07,52,000","1,12,01,000","96,65,000","97,97,000","87,24,000","38,99,000","37,69,000","66,38,000","53,78,000","29,12,000","11,76,91,000","10,37,02,000","9,78,27,000","8,99,93,000"
113,D,"Dominion Energy, Inc.",81.21,4.71M,Telecom Utilities,"1,65,72,000","1,65,72,000","1,33,66,000","1,25,86,000","1,17,37,000","89,90,000","89,90,000","70,39,000","58,83,000","59,55,000","75,82,000","75,82,000","63,27,000","67,03,000","57,82,000","13,58,000","13,58,000","24,47,000","29,99,000","21,23,000","10,38,23,000","7,79,14,000","7,65,85,000","7,16,10,000"
114,SO,The Southern Company,61.78,3.799M,Telecom Utilities,"2,01,72,000","2,14,19,000","2,34,95,000","2,30,31,000","1,98,96,000","1,06,02,000","1,17,92,000","1,38,42,000","1,28,58,000","1,12,24,000","95,70,000","96,27,000","96,53,000","1,01,73,000","86,72,000","31,88,000","47,54,000","22,42,000","8,80,000","24,93,000","11,87,00,000","11,69,14,000","11,10,05,000","10,96,97,000"
115,EXC,Exelon Corporation,42.7,5.323M,Telecom Utilities,"3,32,67,000","3,44,38,000","3,59,85,000","3,35,31,000","3,13,60,000","2,37,38,000","2,41,12,000","2,60,07,000","2,41,61,000","2,26,88,000","95,29,000","1,03,26,000","99,78,000","93,70,000","86,72,000","23,76,000","29,36,000","20,10,000","37,70,000","11,34,000","12,49,77,000","11,96,66,000","11,67,00,000","11,49,04,000"
116,KEP,Korea Electric Power Corporation,9.58,"46,295",Telecom Utilities,"58,21,34,19,000","58,56,80,82,000","60,03,30,62,000","59,33,58,89,000","59,76,30,87,000","57,87,79,36,000","58,28,04,49,000","52,17,23,30,000","45,62,83,18,000",,"69,01,46,000","1,75,26,13,000","7,16,35,59,000","14,13,47,69,000",,"9,30,38,000",0,0,"1,29,87,20,000","7,04,85,81,000","1,97,59,77,92,000","1,85,24,90,61,000","1,81,78,89,15,000","1,77,83,70,42,000"
117,AEP,"American Electric Power Company, Inc.",84.13,2.862M,Telecom Utilities,"1,49,23,900","1,55,61,400","1,61,95,700","1,54,24,900","1,63,80,100","81,40,000","90,63,700","1,00,13,100","89,37,100","99,24,900","67,83,900","64,97,700","61,82,600","64,87,800","64,55,200","19,18,100","19,21,100","19,23,800","19,12,600","6,10,900","7,58,92,300","6,88,02,800","6,47,29,100","6,34,67,700"
118,SRE,Sempra Energy,133.04,1.673M,Telecom Utilities,"1,22,97,000","1,08,29,000","1,16,87,000","1,12,07,000","1,01,83,000","74,19,000","61,37,000","72,73,000","69,51,000","68,24,000","48,78,000","46,92,000","44,14,000","42,56,000","33,59,000","26,16,000","21,98,000","10,50,000","2,57,000","13,71,000","6,56,65,000","6,06,38,000","5,04,54,000","4,77,86,000"
119,PCG,PG&E Corporation,12.65,51.165M,Telecom Utilities,"1,80,14,000","1,71,29,000","1,67,59,000","1,71,35,000","1,76,66,000","1,24,72,000","1,25,54,000","1,16,52,000","1,13,25,000","1,27,34,000","55,42,000","45,75,000","51,07,000","58,10,000","49,32,000",0,0,0,"16,60,000","14,07,000","8,51,96,000","7,69,95,000","6,80,12,000","6,85,98,000"
120,HNP,"Huaneng Power International, Inc.",16.24,"11,146",Telecom Utilities,"16,95,32,831","17,40,09,401","16,95,50,624","15,24,59,444","11,38,14,236","10,09,87,948","10,75,39,615","11,49,04,660","10,09,67,953","6,41,65,344","6,85,44,883","6,64,69,786","5,46,45,964","5,14,91,491","4,96,48,892","27,65,805","7,66,345","7,34,435","15,79,836","85,20,427","42,82,50,063","41,99,03,311","39,65,89,511","31,48,39,739"
121,PPL,PPL Corporation,29.25,3.772M,Telecom Utilities,"76,32,000","77,69,000","77,85,000","74,47,000","75,17,000","32,65,000","34,17,000","35,27,000","30,79,000","32,42,000","43,67,000","43,52,000","42,58,000","43,68,000","42,75,000","15,43,000","17,46,000","18,27,000","11,28,000","19,02,000","4,56,80,000","4,33,96,000","4,14,79,000","3,83,15,000"
122,PEG,Public Service Enterprise Group Incorporated,57.82,2.48M,Telecom Utilities,"96,79,000","1,00,76,000","96,96,000","90,84,000","90,61,000","61,81,000","64,83,000","62,40,000","56,69,000","60,09,000","34,98,000","35,93,000","34,56,000","34,15,000","30,52,000","19,11,000","16,93,000","14,38,000","15,74,000","8,87,000","4,77,30,000","4,53,26,000","4,27,16,000","4,00,70,000"
123,EIX,Edison International,64.54,1.595M,Telecom Utilities,"1,33,91,000","1,23,47,000","1,26,57,000","1,23,20,000","1,18,69,000","84,56,000","78,57,000","82,03,000","76,80,000","73,95,000","49,35,000","44,90,000","44,54,000","46,40,000","44,74,000","4,92,000","14,05,000",0,"6,89,000","14,34,000","6,43,82,000","5,67,15,000","5,25,80,000","5,13,19,000"
124,ETP,"Energy Transfer Partners, L.P.",0,0,Telecom Utilities,,,,,,,,,,,,,,,,,,,,,,,,
125,ED,"Consolidated Edison, Inc.",77.69,1.616M,Telecom Utilities,"1,23,98,000","1,25,74,000","1,23,37,000","1,20,33,000","1,20,75,000","53,21,000","58,08,000","61,00,000","59,28,000","63,57,000","70,77,000","67,66,000","62,37,000","61,05,000","57,18,000","13,28,000","13,43,000","13,82,000","15,25,000","12,45,000","5,80,79,000","5,39,20,000","4,81,11,000","4,82,55,000"
126,ENI,456658,0,0,Telecom Utilities,,,,,,,,,,,,,,,,,,,,,,,,
127,XEL,Xcel Energy Inc.,70.5,2.199M,Telecom Utilities,"1,13,77,000","1,15,29,000","1,15,37,000","1,14,04,000","1,11,06,920","64,61,000","68,06,000","70,84,000","69,17,000","68,13,007","49,16,000","47,23,000","44,53,000","44,87,000","42,93,913","14,77,000","13,72,000","12,61,000","11,48,000","11,23,379","5,04,48,000","4,59,87,000","4,30,30,000","4,11,55,277"
128,ES,Eversource Energy,89.75,"9,99,368",Telecom Utilities,"87,20,913","85,26,500","84,48,200","77,52,000","76,39,100","44,01,677","44,03,273","44,74,182","38,12,418","38,24,377","43,19,236","41,23,227","39,74,018","39,39,582","38,14,723","11,83,281","9,09,053","10,33,000","9,87,996","9,42,302","4,11,23,915","3,82,41,256","3,62,20,386","3,20,53,173"
129,FE,FirstEnergy Corp.,28.55,7.415M,Telecom Utilities,"1,09,26,000","1,10,35,000","1,12,61,000","1,40,17,000","1,45,62,000","32,01,000","34,24,000","36,47,000","45,77,000","54,79,000","77,25,000","76,11,000","76,14,000","94,40,000","90,83,000","7,26,000","9,12,000","13,48,000",0,0,"4,23,01,000","4,00,63,000","4,22,57,000","4,31,48,000"
130,GE,General Electric Company,9.73,143.552M,Industries,"8,39,28,000","9,52,15,000","12,16,16,000","12,04,68,000","11,96,87,000","6,76,66,000","7,25,60,000","9,56,53,000","9,50,79,000","9,12,73,000","1,62,62,000","2,26,55,000","2,59,63,000","2,53,89,000","2,84,14,000","37,96,000",0,0,0,"88,31,000","26,60,48,000","30,91,29,000","37,79,45,000","36,51,83,000"
131,V,Visa Inc.,207.83,6.129M,Industries,"2,38,85,000","2,18,46,000","2,29,77,000","2,06,09,000","1,83,58,000","44,06,000","45,12,000","41,65,000","38,56,000","32,48,000","1,94,79,000","1,73,34,000","1,88,12,000","1,67,53,000","1,51,10,000","1,24,82,000","1,08,66,000","1,20,80,000","1,03,01,000","66,99,000","8,09,19,000","7,25,74,000","6,92,25,000","6,79,77,000"
132,MA,Mastercard Incorporated,335.94,3.14M,Industries,"1,55,95,000","1,68,83,000","1,49,50,000","1,24,97,000","1,07,76,000",NA,,,,,"63,43,000","66,65,000","61,17,000","53,18,000","44,91,000","67,26,000","81,18,000","58,59,000","39,15,000","40,59,000","2,92,36,000","2,48,60,000","2,13,29,000","1,86,75,000"
133,UTX,UTX,0,0,Industries,,,,,,,,,,,,,,,,,,,,,,,,
134,MMM,3M Company,171.4,2.514M,Industries,"3,17,12,000","3,21,36,000","3,27,65,000","3,16,57,000","3,01,09,000","1,65,42,000","1,71,36,000","1,66,82,000","1,60,01,000","1,50,40,000","1,51,70,000","1,50,00,000","1,60,83,000","1,56,56,000","1,50,69,000","49,64,000","45,70,000","53,49,000","48,58,000","50,50,000","4,46,59,000","3,65,00,000","3,79,87,000","3,29,06,000"
135,BA,The Boeing Company,203.3,64.509M,Industries,"6,07,65,000","7,65,59,000","10,11,27,000","9,33,92,000","9,45,71,000","6,15,59,000","7,20,93,000","8,14,90,000","7,60,66,000","8,07,90,000",0,"44,66,000","1,96,37,000","1,73,26,000","1,37,81,000",0,0,"1,04,60,000","81,97,000","48,95,000","13,36,25,000","11,73,59,000","9,23,33,000","8,99,97,000"
136,UNP,Union Pacific Corporation,204.03,2.156M,Industries,"1,96,04,000","2,17,08,000","2,28,32,000","2,12,40,000","1,99,41,000","1,06,13,000","1,20,94,000","1,32,93,000","1,22,31,000","1,16,72,000","89,91,000","96,14,000","95,39,000","90,09,000","82,69,000","53,72,000","59,19,000","59,66,000","1,07,12,000","42,33,000","6,16,73,000","5,91,47,000","5,78,06,000","5,57,18,000"
137,UPS,"United Parcel Service, Inc.",168.45,3.214M,Industries,"8,03,00,000","7,40,94,000","7,18,61,000","6,58,72,000","6,09,06,000","6,58,70,000","6,03,77,000","5,93,72,000","5,33,04,000","5,08,16,000","1,44,30,000","1,37,17,000","1,24,89,000","1,25,68,000","1,00,90,000","45,84,000","44,40,000","47,91,000","49,10,000","34,31,000","5,78,57,000","5,00,16,000","4,54,03,000","4,03,77,000"
138,HON,Honeywell International Inc.,201.11,4.142M,Industries,"3,45,22,000","3,67,09,000","4,18,02,000","4,05,34,000","3,93,02,000","2,31,76,000","2,43,39,000","2,90,46,000","2,75,75,000","2,71,50,000","1,13,46,000","1,23,70,000","1,27,56,000","1,29,59,000","1,21,52,000","58,48,000","61,43,000","67,65,000","16,55,000","48,09,000","5,86,79,000","5,77,73,000","5,93,87,000","5,41,46,000"
139,DHR,Danaher Corporation,224.7,2.81M,Industries,"2,03,92,100","1,79,11,100","1,98,93,000","1,83,29,700","1,68,82,400","91,67,600","79,27,400","87,85,900","81,37,200","75,47,800","1,12,24,500","99,83,700","1,11,07,100","1,01,92,500","93,34,600","36,81,000","30,08,200","26,50,900","24,92,100","25,53,700","6,20,81,600","4,78,32,500","4,66,48,600","4,52,95,300"
140,CAT,Caterpillar Inc.,172.74,3.058M,Industries,"4,36,57,000","5,38,00,000","5,47,22,000","4,54,62,000","3,85,37,000","3,10,59,000","3,73,84,000","3,77,19,000","3,16,95,000","2,89,05,000","1,25,98,000","1,64,16,000","1,70,03,000","1,37,67,000","96,32,000","33,16,000","60,93,000","61,47,000","7,54,000",0,"7,84,53,000","7,85,09,000","7,69,62,000","7,47,04,000"
141,ABB,ABB Ltd,27.53,1.847M,Industries,"2,60,20,000","2,79,78,000","2,76,62,000","3,43,12,000","3,38,28,000","1,80,82,000","1,90,72,000","1,91,18,000","2,40,46,000","2,40,81,000","79,38,000","89,06,000","85,44,000","1,02,66,000","97,47,000","55,50,000","14,39,000","21,73,000","22,13,000","18,99,000","4,61,08,000","4,44,41,000","4,32,62,000","3,94,99,000"
142,GD,General Dynamics Corporation,153.5,1.513M,Industries,"3,82,17,000","3,93,50,000","3,61,93,000","3,09,73,000","3,13,53,000","3,17,85,000","3,22,91,000","2,94,78,000","2,47,86,000","2,51,04,000","64,32,000","70,59,000","67,15,000","61,87,000","62,49,000","31,85,000","34,84,000","33,45,000","29,12,000","29,55,000","4,88,41,000","4,54,08,000","3,50,46,000","3,28,72,000"
143,ADP,"Automatic Data Processing, Inc.",173.16,1.251M,Industries,"1,45,64,800","1,45,89,800","1,41,75,200","1,33,25,800","1,23,79,800","84,34,600","84,45,100","80,86,600","78,42,600","72,69,800","61,30,200","61,44,700","60,88,600","54,83,200","51,10,000","24,86,200","24,66,500","22,92,800","16,20,800","17,33,400","3,91,65,500","4,18,87,700","3,70,88,700","3,71,80,000"
144,EMR,Emerson Electric Co.,76.89,2.314M,Industries,"1,79,68,000","1,67,85,000","1,83,72,000","1,74,08,000","1,52,64,000","1,03,30,000","97,76,000","1,05,57,000","99,48,000","88,60,000","76,38,000","70,09,000","78,15,000","74,60,000","64,04,000","21,64,000","19,65,000","23,06,000","22,03,000","15,18,000","2,28,82,000","2,04,97,000","2,03,90,000","1,95,89,000"
145,ITW,Illinois Tool Works Inc.,206.1,1.115M,Industries,"1,41,09,000","1,41,09,000","1,47,68,000","1,43,14,000","1,35,99,000","81,87,000","81,87,000","86,04,000","83,09,000","78,96,000","59,22,000","59,22,000","61,64,000","60,05,000","57,03,000","25,21,000","25,21,000","25,63,000","16,87,000","20,35,000","1,50,68,000","1,48,70,000","1,67,80,000","1,52,01,000"
146,ECL,Ecolab Inc.,209.44,"7,66,207",Industries,"1,43,13,400","1,49,06,300","1,46,68,200","1,38,38,300","1,31,52,800","86,12,200","87,23,400","86,25,900","74,05,100","68,98,900","57,01,200","61,82,900","60,42,300","64,33,200","62,53,900",0,"15,58,900","14,29,100","15,08,400","12,29,600","2,08,69,100","2,00,74,500","1,99,62,400","1,83,30,200"
